product_id,product_name,date,nav,total_value,market_value,cash,running_delta,initial_capital,data_completeness
GZ2000_综合_v10,,2023-01-03,1.0,100652.20000000001,48117.8,52534.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-04,0.9995052269100922,100602.4,93645.0,6957.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-05,1.0016860038826771,100821.9,93864.5,6957.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-06,1.0002622893488666,100678.59999999999,93721.2,6957.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-09,1.002333779092757,100887.09999999999,93929.7,6957.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-10,0.9977765016561981,100428.4,93471.0,6957.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-11,0.9948734354539691,100136.2,93178.8,6957.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-12,1.0003238876050398,100684.79999999999,93727.4,6957.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-13,1.0065890263700146,101315.4,94358.0,6957.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-16,1.0102789606188436,101686.79999999999,94729.4,6957.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-17,1.0121229342229974,101872.4,94915.0,6957.4,0.0,0.0,full
GZ2000_综合_v10,,2023-01-18,1.0220293247440193,102869.5,96355.0,6514.5,0.0,0.0,full
GZ2000_综合_v10,,2023-01-19,1.026124615259279,103281.7,96767.2,6514.5,0.0,0.0,full
GZ2000_综合_v10,,2023-01-20,1.0370185649195942,104378.2,98031.7,6346.5,0.0,0.0,full
GZ2000_综合_v10,,2023-01-30,1.0522532045996014,105911.6,99565.1,6346.5,0.0,0.0,full
GZ2000_综合_v10,,2023-01-31,1.0531662497193306,106003.5,99657.0,6346.5,0.0,0.0,full
GZ2000_综合_v10,,2023-02-01,1.0645698752734667,107151.3,100658.2,6493.1,0.0,0.0,full
GZ2000_综合_v10,,2023-02-02,1.0604408050693381,106735.70000000001,100242.6,6493.1,0.0,0.0,full
GZ2000_综合_v10,,2023-02-03,1.05800171282893,106490.20000000001,99997.1,6493.1,0.0,0.0,full
GZ2000_综合_v10,,2023-02-06,1.0511362891223444,105799.18000000001,98670.8,7128.38,0.0,0.0,full
GZ2000_综合_v10,,2023-02-07,1.0611380575884086,106805.88,99677.5,7128.38,0.0,0.0,full
GZ2000_综合_v10,,2023-02-08,1.0687871700767595,107575.78,100361.1,7214.68,0.0,0.0,full
GZ2000_综合_v10,,2023-02-09,1.0865036233683918,109358.98000000001,102144.3,7214.68,0.0,0.0,full
GZ2000_综合_v10,,2023-02-10,1.0788207311911715,108585.68,101371.0,7214.68,0.0,0.0,full
GZ2000_综合_v10,,2023-02-13,1.091479172834772,109859.78,102868.1,6991.68,0.0,0.0,full
GZ2000_综合_v10,,2023-02-14,1.0941755868227423,110131.18,103139.5,6991.68,0.0,0.0,full
GZ2000_综合_v10,,2023-02-15,1.096636536508889,110378.87999999999,103015.9,7362.98,0.0,0.0,full
GZ2000_综合_v10,,2023-02-16,1.07807857155631,108510.98,101148.0,7362.98,0.0,0.0,full
GZ2000_综合_v10,,2023-02-17,1.0817555900417481,108881.08,101518.1,7362.98,0.0,0.0,full
GZ2000_综合_v10,,2023-02-20,1.0815906656784455,108864.48,102038.0,6826.48,0.0,0.0,full
GZ2000_综合_v10,,2023-02-21,1.0879946985758884,109509.06,59325.0,50184.06,0.0,0.0,full
GZ2000_综合_v10,,2023-02-22,1.0808930157512704,108794.26,58610.2,50184.06,0.0,0.0,full
GZ2000_综合_v10,,2023-02-23,1.0871492128338973,109423.95999999999,58579.7,50844.26,0.0,0.0,full
GZ2000_综合_v10,,2023-02-24,1.0915564687110664,109867.56,59023.3,50844.26,0.0,0.0,full
GZ2000_综合_v10,,2023-02-27,1.0858844615418242,109296.66,58452.4,50844.26,0.0,0.0,full
GZ2000_综合_v10,,2023-02-28,1.0831244622571587,109018.86,58174.6,50844.26,0.0,0.0,full
GZ2000_综合_v10,,2023-03-01,1.0841954770983644,109126.66,58282.4,50844.26,0.0,0.0,full
GZ2000_综合_v10,,2023-03-02,1.0753700366211567,108238.36,101147.1,7091.26,0.0,0.0,full
GZ2000_综合_v10,,2023-03-03,1.0756889566248924,108270.45999999999,101281.7,6988.76,0.0,0.0,full
GZ2000_综合_v10,,2023-03-06,1.0768752198163576,108389.85999999999,101401.09999999999,6988.76,0.0,0.0,full
GZ2000_综合_v10,,2023-03-07,1.0671712093724728,107413.13,90507.3,16905.83,0.0,0.0,full
GZ2000_综合_v10,,2023-03-08,1.0601893450913145,106710.39,57891.2,48819.19,0.0,0.0,full
GZ2000_综合_v10,,2023-03-09,1.0608094010861162,106772.79999999999,47079.49999999999,59693.3,0.0,0.0,full
GZ2000_综合_v10,,2023-03-10,1.0524817142595988,105934.6,46556.1,59378.5,0.0,0.0,full
GZ2000_综合_v10,,2023-03-13,1.0540355799475816,106091.0,47475.3,58615.7,0.0,0.0,full
GZ2000_综合_v10,,2023-03-14,1.0412042657785918,104799.5,46183.8,58615.7,0.0,0.0,full
GZ2000_综合_v10,,2023-03-15,1.0454694482584581,105228.8,46451.0,58777.8,0.0,0.0,full
GZ2000_综合_v10,,2023-03-16,1.0394030135456551,104618.20000000001,45840.4,58777.8,0.0,0.0,full
GZ2000_综合_v10,,2023-03-17,1.043185345178744,104998.90000000001,46221.100000000006,58777.8,0.0,0.0,full
GZ2000_综合_v10,,2023-03-20,1.048465905365208,105530.4,47031.4,58499.0,0.0,0.0,full
GZ2000_综合_v10,,2023-03-21,1.0478797284113013,105471.4,46972.4,58499.0,0.0,0.0,full
GZ2000_综合_v10,,2023-03-22,1.0502711316791882,105712.1,99337.1,6375.0,0.0,0.0,full
GZ2000_综合_v10,,2023-03-23,1.0472568905597688,105408.70999999999,78069.7,27339.01,0.0,0.0,full
GZ2000_综合_v10,,2023-03-24,1.0552606897812464,106214.31,99722.3,6492.01,0.0,0.0,full
GZ2000_综合_v10,,2023-03-27,1.052197666817019,105906.01,99414.0,6492.01,0.0,0.0,full
GZ2000_综合_v10,,2023-03-28,1.041462680398441,104825.51,98333.5,6492.01,0.0,0.0,full
GZ2000_综合_v10,,2023-03-29,1.0447144722122315,105152.81,98660.8,6492.01,0.0,0.0,full
GZ2000_综合_v10,,2023-03-30,1.0454615994483973,105228.01000000001,98291.1,6936.91,0.0,0.0,full
GZ2000_综合_v10,,2023-03-31,1.0494575379375708,105630.20999999999,98693.29999999999,6936.91,0.0,0.0,full
GZ2000_综合_v10,,2023-04-03,1.055018270837597,106189.91,99253.0,6936.91,0.0,0.0,full
GZ2000_综合_v10,,2023-04-04,1.0479628860571353,105479.77000000002,88722.70000000001,16757.07,0.0,0.0,full
GZ2000_综合_v10,,2023-04-06,1.05062949443728,105748.17000000001,99193.1,6555.07,0.0,0.0,full
GZ2000_综合_v10,,2023-04-07,1.06277826018706,106970.97,100415.9,6555.07,0.0,0.0,full
GZ2000_综合_v10,,2023-04-10,1.047507853777662,105433.97,98878.9,6555.07,0.0,0.0,full
GZ2000_综合_v10,,2023-04-11,1.0472650374259083,105409.53,89324.0,16085.53,0.0,0.0,full
GZ2000_综合_v10,,2023-04-12,1.0503827040044829,105723.33,99737.8,5985.53,0.0,0.0,full
GZ2000_综合_v10,,2023-04-13,1.0435929865417746,105039.93,99054.4,5985.53,0.0,0.0,full
GZ2000_综合_v10,,2023-04-14,1.0615061568450566,106842.93000000001,100857.40000000001,5985.53,0.0,0.0,full
GZ2000_综合_v10,,2023-04-17,1.0595777340187298,106648.83,100663.3,5985.53,0.0,0.0,full
GZ2000_综合_v10,,2023-04-18,1.0521481895080285,105901.03,99915.5,5985.53,0.0,0.0,full
GZ2000_综合_v10,,2023-04-19,1.0510066347283018,105786.12999999999,99800.59999999999,5985.53,0.0,0.0,full
