product_id,product_name,date,nav,total_value,market_value,cash,running_delta,initial_capital,data_completeness
集中_行业轮动_V251111701,,2023-01-03,1.0,168347.21,149766.9,18580.31,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-04,1.003444072521309,168927.01,150346.7,18580.31,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-05,1.023537663617948,172309.71000000002,153729.40000000002,18580.31,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-06,1.013962809362864,170697.81,152117.5,18580.31,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-09,1.0268540238950206,172868.00999999998,127783.19999999998,45084.81,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-10,1.0292045231994047,173263.71,128178.9,45084.81,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-11,1.0295050924811884,173314.31,128229.5,45084.81,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-12,1.0271052903104247,172910.31,127825.5,45084.81,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-13,1.0373876109975333,174641.31,129556.5,45084.81,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-16,1.044793792543399,175888.12,126407.6,49480.52,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-17,1.0398884543438531,175062.32,125581.8,49480.52,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-18,1.04054245983643,175172.41999999998,125691.9,49480.52,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-19,1.0516415448762115,177040.91999999998,127560.4,49480.52,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-20,1.0519231058239698,177088.32,127607.8,49480.52,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-30,1.0496862407164338,176711.75,126767.4,49944.35,0.0,0.0,full
集中_行业轮动_V251111701,,2023-01-31,1.0394989616994545,174996.75,125052.4,49944.35,0.0,0.0,full
集中_行业轮动_V251111701,,2023-02-01,1.0465510536230451,176183.95,126239.6,49944.35,0.0,0.0,full
集中_行业轮动_V251111701,,2023-02-02,1.0498870162445817,176745.55,126801.2,49944.35,0.0,0.0,full
