product_id,product_name,symbol,name,side,price,qty,amount,trade_time,trade_date
集中_红利增强_V20_251229,,159920.XSHE,恒生ETF,SELL,1.098,30500.0,-33489.0,2023-04-26 09:30:00,2023-04-26
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,BUY,0.682,48800.0,33281.6,2023-04-27 09:30:00,2023-04-27
集中_红利增强_V20_251229,,513500.XSHG,标普500,BUY,1.324,25100.0,33232.4,2023-04-27 09:30:00,2023-04-27
集中_红利增强_V20_251229,,513530.XSHG,港股红利,BUY,1.129,29500.0,33305.5,2023-04-27 09:30:00,2023-04-27
集中_红利增强_V20_251229,,513530.XSHG,港股红利,SELL,1.136,29500.0,-33512.0,2023-04-28 09:30:00,2023-04-28
集中_红利增强_V20_251229,,515300.XSHG,红利300,BUY,1.331,26700.0,35537.7,2023-04-28 09:30:00,2023-04-28
集中_红利增强_V20_251229,,515300.XSHG,红利300,SELL,1.371,26700.0,-36605.7,2023-05-05 09:30:00,2023-05-05
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,SELL,0.689,48800.0,-33623.2,2023-05-05 09:30:00,2023-05-05
集中_红利增强_V20_251229,,512890.XSHG,红利低波,BUY,0.988,35300.0,34876.4,2023-05-05 09:30:00,2023-05-05
集中_红利增强_V20_251229,,518880.XSHG,黄金ETF,BUY,4.416,7900.0,34886.4,2023-05-05 09:30:00,2023-05-05
集中_红利增强_V20_251229,,512890.XSHG,红利低波,SELL,0.944,35300.0,-33323.2,2023-05-17 09:30:00,2023-05-17
集中_红利增强_V20_251229,,513500.XSHG,标普500,SELL,1.353,25100.0,-33960.3,2023-05-17 09:30:00,2023-05-17
集中_红利增强_V20_251229,,515300.XSHG,红利300,BUY,1.37,24600.0,33702.0,2023-05-17 09:30:00,2023-05-17
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,BUY,0.72,46900.0,33768.0,2023-05-17 09:30:00,2023-05-17
集中_红利增强_V20_251229,,518880.XSHG,黄金ETF,SELL,4.327,7900.0,-34183.3,2023-05-19 09:30:00,2023-05-19
集中_红利增强_V20_251229,,513500.XSHG,标普500,BUY,1.393,25500.0,35521.5,2023-05-19 09:30:00,2023-05-19
集中_红利增强_V20_251229,,515300.XSHG,红利300,SELL,1.32,24600.0,-32472.0,2023-06-26 09:30:00,2023-06-26
集中_红利增强_V20_251229,,512890.XSHG,红利低波,BUY,0.898,36700.0,32956.6,2023-06-26 09:30:00,2023-06-26
集中_红利增强_V20_251229,,512890.XSHG,红利低波,SELL,0.905,36700.0,-33213.5,2023-06-28 09:30:00,2023-06-28
集中_红利增强_V20_251229,,513530.XSHG,港股红利,BUY,1.13,29300.0,33109.0,2023-06-28 09:30:00,2023-06-28
集中_红利增强_V20_251229,,513500.XSHG,标普500,SELL,1.506,25500.0,-38403.0,2023-06-30 09:30:00,2023-06-30
集中_红利增强_V20_251229,,159985.XSHE,豆粕ETF,BUY,1.899,19600.0,37220.4,2023-06-30 09:30:00,2023-06-30
集中_红利增强_V20_251229,,513530.XSHG,港股红利,SELL,1.122,29300.0,-32874.6,2023-07-19 09:30:00,2023-07-19
集中_红利增强_V20_251229,,515300.XSHG,红利300,BUY,1.367,24900.0,34038.3,2023-07-19 09:30:00,2023-07-19
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,SELL,0.849,46900.0,-39818.1,2023-07-24 09:30:00,2023-07-24
集中_红利增强_V20_251229,,159985.XSHE,豆粕ETF,SELL,2.118,19600.0,-41512.8,2023-07-24 09:30:00,2023-07-24
集中_红利增强_V20_251229,,515300.XSHG,红利300,SELL,1.359,24900.0,-33839.1,2023-07-24 09:30:00,2023-07-24
集中_红利增强_V20_251229,,515300.XSHG,红利300,BUY,1.372,26900.0,36906.8,2023-07-25 09:30:00,2023-07-25
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,BUY,0.852,43400.0,36976.8,2023-07-25 09:30:00,2023-07-25
集中_红利增强_V20_251229,,159985.XSHE,豆粕ETF,BUY,2.131,17300.0,36866.3,2023-07-25 09:30:00,2023-07-25
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,SELL,0.844,43400.0,-36629.6,2023-08-07 09:30:00,2023-08-07
集中_红利增强_V20_251229,,510300.XSHG,300ETF,BUY,4.076,9600.0,39129.6,2023-08-07 09:30:00,2023-08-07
集中_红利增强_V20_251229,,510300.XSHG,300ETF,SELL,3.818,9600.0,-36652.8,2023-08-22 09:30:00,2023-08-22
集中_红利增强_V20_251229,,518880.XSHG,黄金ETF,BUY,4.434,8600.0,38132.4,2023-08-22 09:30:00,2023-08-22
集中_红利增强_V20_251229,,515300.XSHG,红利300,SELL,1.382,26900.0,-37175.8,2023-08-30 09:30:00,2023-08-30
集中_红利增强_V20_251229,,510880.XSHG,红利ETF,BUY,3.057,12200.0,37295.4,2023-08-30 09:30:00,2023-08-30
集中_红利增强_V20_251229,,159985.XSHE,豆粕ETF,SELL,2.27,17300.0,-39271.0,2023-09-20 09:30:00,2023-09-20
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,BUY,0.973,40300.0,39211.9,2023-09-20 09:30:00,2023-09-20
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,SELL,0.948,40300.0,-38204.4,2023-09-21 09:30:00,2023-09-21
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,BUY,0.833,45900.0,38234.7,2023-09-21 09:30:00,2023-09-21
集中_红利增强_V20_251229,,510880.XSHG,红利ETF,SELL,3.107,12200.0,-37905.4,2023-09-25 09:30:00,2023-09-25
集中_红利增强_V20_251229,,513530.XSHG,港股红利,BUY,1.16,32700.0,37932.0,2023-09-25 09:30:00,2023-09-25
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,SELL,0.828,45900.0,-38005.2,2023-10-09 09:30:00,2023-10-09
集中_红利增强_V20_251229,,510500.XSHG,500ETF,BUY,5.79,6500.0,37635.0,2023-10-09 09:30:00,2023-10-09
集中_红利增强_V20_251229,,513530.XSHG,港股红利,SELL,1.116,32700.0,-36493.2,2023-10-11 09:30:00,2023-10-11
集中_红利增强_V20_251229,,510880.XSHG,红利ETF,BUY,3.047,12100.0,36868.7,2023-10-11 09:30:00,2023-10-11
集中_红利增强_V20_251229,,510500.XSHG,500ETF,SELL,5.74,6500.0,-37310.0,2023-10-16 09:30:00,2023-10-16
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,BUY,0.84,44300.0,37212.0,2023-10-16 09:30:00,2023-10-16
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,SELL,0.846,44300.0,-37477.8,2023-10-17 09:30:00,2023-10-17
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,BUY,0.985,38000.0,37430.0,2023-10-17 09:30:00,2023-10-17
集中_红利增强_V20_251229,,510880.XSHG,红利ETF,SELL,2.979,12100.0,-36045.9,2023-10-23 09:30:00,2023-10-23
集中_红利增强_V20_251229,,512890.XSHG,红利低波,BUY,0.927,39000.0,36153.0,2023-10-23 09:30:00,2023-10-23
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,SELL,0.916,38000.0,-34808.0,2023-10-31 09:30:00,2023-10-31
集中_红利增强_V20_251229,,159985.XSHE,豆粕ETF,BUY,2.254,15400.0,34711.6,2023-10-31 09:30:00,2023-10-31
集中_红利增强_V20_251229,,512890.XSHG,红利低波,SELL,0.922,39000.0,-35958.0,2023-11-01 09:30:00,2023-11-01
集中_红利增强_V20_251229,,515300.XSHG,红利300,BUY,1.346,26700.0,35938.2,2023-11-01 09:30:00,2023-11-01
集中_红利增强_V20_251229,,518880.XSHG,黄金ETF,SELL,4.516,8600.0,-38837.6,2023-11-21 09:30:00,2023-11-21
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,BUY,1.043,35800.0,37339.4,2023-11-21 09:30:00,2023-11-21
集中_红利增强_V20_251229,,159985.XSHE,豆粕ETF,SELL,2.268,15400.0,-34927.2,2023-11-24 09:30:00,2023-11-24
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,BUY,0.872,41800.0,36449.6,2023-11-24 09:30:00,2023-11-24
集中_红利增强_V20_251229,,515300.XSHG,红利300,SELL,1.357,26700.0,-36231.9,2023-11-27 09:30:00,2023-11-27
集中_红利增强_V20_251229,,515080.XSHG,中证红利,BUY,1.46,24800.0,36208.0,2023-11-27 09:30:00,2023-11-27
集中_红利增强_V20_251229,,515080.XSHG,中证红利,SELL,1.403,24800.0,-34794.4,2023-12-06 09:30:00,2023-12-06
集中_红利增强_V20_251229,,510880.XSHG,红利ETF,BUY,2.973,12000.0,35676.0,2023-12-06 09:30:00,2023-12-06
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,SELL,0.872,41800.0,-36449.6,2023-12-08 09:30:00,2023-12-08
集中_红利增强_V20_251229,,513500.XSHG,标普500,BUY,1.544,23600.0,36438.4,2023-12-08 09:30:00,2023-12-08
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,SELL,1.077,35800.0,-38556.6,2023-12-19 09:30:00,2023-12-19
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,BUY,0.911,41600.0,37897.6,2023-12-19 09:30:00,2023-12-19
集中_红利增强_V20_251229,,510880.XSHG,红利ETF,SELL,2.92,12000.0,-35040.0,2023-12-27 09:30:00,2023-12-27
集中_红利增强_V20_251229,,513530.XSHG,港股红利,BUY,1.087,32800.0,35653.6,2023-12-27 09:30:00,2023-12-27
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,SELL,0.888,41600.0,-36940.8,2024-01-05 09:30:00,2024-01-05
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,BUY,1.046,35200.0,36819.2,2024-01-05 09:30:00,2024-01-05
集中_红利增强_V20_251229,,513500.XSHG,标普500,SELL,1.623,23600.0,-38302.8,2024-01-19 09:30:00,2024-01-19
集中_红利增强_V20_251229,,513530.XSHG,港股红利,SELL,1.073,32800.0,-35194.4,2024-01-19 09:30:00,2024-01-19
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,SELL,1.142,35200.0,-40198.4,2024-01-19 09:30:00,2024-01-19
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,BUY,1.183,30900.0,36554.7,2024-01-22 09:30:00,2024-01-22
集中_红利增强_V20_251229,,512890.XSHG,红利低波,BUY,0.922,39700.0,36603.4,2024-01-22 09:30:00,2024-01-22
集中_红利增强_V20_251229,,513500.XSHG,标普500,BUY,1.651,22100.0,36487.1,2024-01-22 09:30:00,2024-01-22
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,SELL,1.179,30900.0,-36431.1,2024-01-23 09:30:00,2024-01-23
集中_红利增强_V20_251229,,512890.XSHG,红利低波,SELL,0.893,39700.0,-35452.1,2024-01-23 09:30:00,2024-01-23
集中_红利增强_V20_251229,,513500.XSHG,标普500,SELL,1.651,22100.0,-36487.1,2024-01-23 09:30:00,2024-01-23
集中_红利增强_V20_251229,,515300.XSHG,红利300,BUY,1.264,28600.0,36150.4,2024-01-24 09:30:00,2024-01-24
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,BUY,1.177,30700.0,36133.9,2024-01-24 09:30:00,2024-01-24
集中_红利增强_V20_251229,,513500.XSHG,标普500,BUY,1.66,21800.0,36188.0,2024-01-24 09:30:00,2024-01-24
集中_红利增强_V20_251229,,515300.XSHG,红利300,SELL,1.289,28600.0,-36865.4,2024-01-25 09:30:00,2024-01-25
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,SELL,1.186,30700.0,-36410.2,2024-01-25 09:30:00,2024-01-25
集中_红利增强_V20_251229,,513500.XSHG,标普500,SELL,1.672,21800.0,-36449.6,2024-01-25 09:30:00,2024-01-25
集中_红利增强_V20_251229,,515300.XSHG,红利300,BUY,1.357,26900.0,36503.3,2024-02-19 09:30:00,2024-02-19
集中_红利增强_V20_251229,,159509.XSHE,纳指科技ETF,BUY,1.236,29600.0,36585.6,2024-02-19 09:30:00,2024-02-19
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,BUY,0.978,37400.0,36577.2,2024-02-19 09:30:00,2024-02-19
集中_红利增强_V20_251229,,159941.XSHE,纳指ETF,SELL,0.981,37400.0,-36689.4,2024-02-22 09:30:00,2024-02-22
集中_红利增强_V20_251229,,513500.XSHG,标普500,BUY,1.729,22600.0,39075.4,2024-02-22 09:30:00,2024-02-22
集中_红利增强_V20_251229,,515300.XSHG,红利300,SELL,1.371,26900.0,-36879.9,2024-02-29 09:30:00,2024-02-29
集中_红利增强_V20_251229,,510880.XSHG,红利ETF,BUY,3.076,12400.0,38142.4,2024-02-29 09:30:00,2024-02-29
集中_红利增强_V20_251229,,513500.XSHG,标普500,SELL,1.79,22600.0,-40454.0,2024-03-11 09:30:00,2024-03-11
集中_红利增强_V20_251229,,510300.XSHG,300ETF,BUY,3.531,11400.0,40253.4,2024-03-11 09:30:00,2024-03-11
集中_红利增强_V20_251229,,510300.XSHG,300ETF,SELL,3.583,11400.0,-40846.2,2024-03-12 09:30:00,2024-03-12
集中_红利增强_V20_251229,,159915.XSHE,创业板ETF,BUY,1.845,22200.0,40959.0,2024-03-12 09:30:00,2024-03-12
集中_红利增强_V20_251229,,510880.XSHG,红利ETF,SELL,3.07,12400.0,-38068.0,2024-03-15 09:30:00,2024-03-15
集中_红利增强_V20_251229,,515080.XSHG,中证红利,BUY,1.502,25400.0,38150.8,2024-03-15 09:30:00,2024-03-15
集中_红利增强_V20_251229,,515080.XSHG,中证红利,SELL,1.5,25400.0,-38100.0,2024-03-18 09:30:00,2024-03-18
集中_红利增强_V20_251229,,513530.XSHG,港股红利,BUY,1.151,33100.0,38098.1,2024-03-18 09:30:00,2024-03-18
集中_红利增强_V20_251229,,159915.XSHE,创业板ETF,SELL,1.782,22200.0,-39560.4,2024-03-26 09:30:00,2024-03-26
集中_红利增强_V20_251229,,159985.XSHE,豆粕ETF,BUY,2.146,18400.0,39486.4,2024-03-26 09:30:00,2024-03-26
集中_红利增强_V20_251229,,513530.XSHG,港股红利,SELL,1.119,33100.0,-37038.9,2024-03-27 09:30:00,2024-03-27
集中_红利增强_V20_251229,,515300.XSHG,红利300,BUY,1.387,26800.0,37171.6,2024-03-27 09:30:00,2024-03-27
