product_id,product_name,date,nav,total_value,market_value,cash,running_delta,initial_capital,data_completeness
CYB300_综合_v10,,2023-01-03,1.0,100383.6,28745.0,71638.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-04,1.0064592224227862,101032.0,91927.4,9104.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-05,1.0058804426221017,100973.90000000001,91869.3,9104.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-06,0.9951446252176652,99896.20000000001,90791.6,9104.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-09,0.9958050916683602,99962.5,90857.9,9104.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-10,0.9958021031323843,99962.20000000001,90857.6,9104.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-11,0.9889683175339399,99276.20000000001,90171.6,9104.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-12,0.9938077534577361,99762.0,90657.4,9104.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-13,0.9948716722651908,99868.8,90764.2,9104.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-16,1.0012372538940626,100507.80000000002,91403.20000000001,9104.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-17,0.9959973541494826,99981.8,90877.2,9104.6,0.0,0.0,full
CYB300_综合_v10,,2023-01-18,1.007563984555246,101142.9,92388.4,8754.5,0.0,0.0,full
CYB300_综合_v10,,2023-01-19,1.0194364418092199,102334.7,93580.2,8754.5,0.0,0.0,full
CYB300_综合_v10,,2023-01-20,1.025485238624636,102941.90000000001,94141.6,8800.3,0.0,0.0,full
CYB300_综合_v10,,2023-01-30,1.042768141409553,104676.81999999999,83213.2,21463.62,0.0,0.0,full
CYB300_综合_v10,,2023-01-31,1.0418925003685864,104588.92,97111.3,7477.62,0.0,0.0,full
CYB300_综合_v10,,2023-02-01,1.0649042273837561,106898.92,99170.3,7728.62,0.0,0.0,full
CYB300_综合_v10,,2023-02-02,1.0541763794085888,105822.01999999999,98093.4,7728.62,0.0,0.0,full
CYB300_综合_v10,,2023-02-03,1.06709582043282,107118.92,99390.3,7728.62,0.0,0.0,full
CYB300_综合_v10,,2023-02-06,1.0735022453866974,107762.02000000002,99725.20000000001,8036.82,0.0,0.0,full
