product_id,product_name,date,nav,total_value,market_value,cash,running_delta,initial_capital,data_completeness
宽指配置_V251216,,2023-01-03,1.0,101062.02,90682.0,10380.02,0.0,0.0,full
宽指配置_V251216,,2023-01-04,1.0106736437684505,102140.72000000002,91760.70000000001,10380.02,0.0,0.0,full
宽指配置_V251216,,2023-01-05,1.0202915002094755,103112.72,92732.7,10380.02,0.0,0.0,full
宽指配置_V251216,,2023-01-06,1.017721791034852,102853.02,92473.0,10380.02,0.0,0.0,full
宽指配置_V251216,,2023-01-09,1.0252241148554126,103611.22,93231.2,10380.02,0.0,0.0,full
宽指配置_V251216,,2023-01-10,1.0247165057654697,103559.92,93179.9,10380.02,0.0,0.0,full
宽指配置_V251216,,2023-01-11,1.027227834947293,103813.72000000002,93433.70000000001,10380.02,0.0,0.0,full
宽指配置_V251216,,2023-01-12,1.0245324603644377,103541.31999999999,93161.29999999999,10380.02,0.0,0.0,full
宽指配置_V251216,,2023-01-13,1.0327943177862466,104376.28,93868.8,10507.48,0.0,0.0,full
宽指配置_V251216,,2023-01-16,1.0367334830631727,104774.38,94266.90000000001,10507.48,0.0,0.0,full
宽指配置_V251216,,2023-01-17,1.0397524213349387,105079.48,94572.0,10507.48,0.0,0.0,full
宽指配置_V251216,,2023-01-18,1.0401056697659516,105115.18,94607.7,10507.48,0.0,0.0,full
宽指配置_V251216,,2023-01-19,1.0453806484374644,105648.27999999998,95140.79999999999,10507.48,0.0,0.0,full
宽指配置_V251216,,2023-01-20,1.0538259575654632,106501.78,95994.3,10507.48,0.0,0.0,full
宽指配置_V251216,,2023-01-30,1.0529284888625814,106411.08,97721.3,8689.78,0.0,0.0,full
宽指配置_V251216,,2023-01-31,1.0380465381554809,104907.08,96217.3,8689.78,0.0,0.0,full
宽指配置_V251216,,2023-02-01,1.0490694723893306,106021.08,97331.3,8689.78,0.0,0.0,full
宽指配置_V251216,,2023-02-02,1.0461178195329954,105722.78,97033.0,8689.78,0.0,0.0,full
宽指配置_V251216,,2023-02-03,1.0341479420260942,104513.08,95823.3,8689.78,0.0,0.0,full
宽指配置_V251216,,2023-02-06,1.0201040905376715,103093.78,94404.0,8689.78,0.0,0.0,full
宽指配置_V251216,,2023-02-07,1.0214036885468938,103225.12,93852.79999999999,9372.32,0.0,0.0,full
宽指配置_V251216,,2023-02-08,1.0161079305559098,102689.92000000001,93317.6,9372.32,0.0,0.0,full
宽指配置_V251216,,2023-02-09,1.0304525874309651,104139.62,94767.29999999999,9372.32,0.0,0.0,full
宽指配置_V251216,,2023-02-10,1.0227225816384824,103358.40999999999,93982.09999999999,9376.31,0.0,0.0,full
宽指配置_V251216,,2023-02-13,1.0274464135983028,103835.81,94459.5,9376.31,0.0,0.0,full
宽指配置_V251216,,2023-02-14,1.0318981354221886,104285.70999999999,94909.4,9376.31,0.0,0.0,full
宽指配置_V251216,,2023-02-15,1.0294560706386033,104038.91,94662.6,9376.31,0.0,0.0,full
宽指配置_V251216,,2023-02-16,1.0278857477814112,103880.20999999999,94503.9,9376.31,0.0,0.0,full
宽指配置_V251216,,2023-02-17,1.0151017167477945,102588.23,92795.0,9793.23,0.0,0.0,full
宽指配置_V251216,,2023-02-20,1.020084795455305,103091.83,93298.6,9793.23,0.0,0.0,full
宽指配置_V251216,,2023-02-21,1.0200046466516297,103083.73,93290.5,9793.23,0.0,0.0,full
宽指配置_V251216,,2023-02-22,1.011026991148603,102176.43,92383.2,9793.23,0.0,0.0,full
宽指配置_V251216,,2023-02-23,1.0128526027878717,102360.93,92567.7,9793.23,0.0,0.0,full
宽指配置_V251216,,2023-02-24,1.0123730952537853,102312.47,0.0,102312.47,0.0,0.0,funds_only
宽指配置_V251216,,2023-02-27,1.0123730952537853,102312.47,0.0,102312.47,0.0,0.0,funds_only
宽指配置_V251216,,2023-02-28,1.0123730952537853,102312.47,0.0,102312.47,0.0,0.0,funds_only
宽指配置_V251216,,2023-03-01,1.0123730952537853,102312.47,0.0,102312.47,0.0,0.0,funds_only
宽指配置_V251216,,2023-03-02,1.0123730952537853,102312.47,0.0,102312.47,0.0,0.0,funds_only
宽指配置_V251216,,2023-03-03,1.0111711600460782,102191.0,91441.0,10750.0,0.0,0.0,full
