product_id,product_name,date,nav,total_value,market_value,cash,running_delta,initial_capital,data_completeness
集中_红利增强_V20_251229,,2023-01-03,1.0,100852.58,95761.7,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-04,1.0047068701663358,101327.28,96236.4,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-05,1.004290420730932,101285.28,96194.4,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-06,0.9997838429120999,100830.78,95739.9,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-09,1.0049636806515014,101353.18000000001,96262.3,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-10,1.0003738129455884,100890.28,95799.4,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-11,1.008707759385035,101730.78,96639.9,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-12,1.011033926945647,101965.38,96874.5,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-13,1.020019319287618,102871.58,97780.7,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-16,1.0146223329140418,102327.28,97236.4,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-17,1.012538102644474,102117.08,97026.2,5090.88,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-18,1.0188257950366766,102751.21,100170.0,2581.21,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-19,1.0215862598656378,103029.61,100448.4,2581.21,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-20,1.0334005337295291,104221.11,101639.9,2581.21,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-30,1.0328552824330328,104166.12,67237.5,36928.62,0.0,0.0,full
集中_红利增强_V20_251229,,2023-01-31,1.021942324132908,103065.51999999999,66136.9,36928.62,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-01,1.0319751859595465,104077.35999999999,67382.9,36694.46,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-02,1.0290045133203343,103777.76000000001,67083.3,36694.46,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-03,1.0250520115598438,103379.14,68440.0,34939.14,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-06,1.017891064363451,102656.94,67717.8,34939.14,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-07,1.0175162598715877,102619.14,67680.0,34939.14,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-08,1.0114727853268612,102009.64000000001,67047.20000000001,34962.44,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-09,1.02046611003903,102916.64,67954.2,34962.44,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-10,1.0182847082345348,102696.64,67734.2,34962.44,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-13,1.0235260218429718,103225.23999999999,68262.79999999999,34962.44,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-14,1.0254962242909411,103423.94,68838.9,34585.04,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-15,1.025102778729112,103384.26,101498.4,1885.86,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-16,1.026896485940172,103565.15999999999,101679.29999999999,1885.86,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-17,1.0141204121897534,102276.65999999999,100390.79999999999,1885.86,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-20,1.0222487119318127,103096.42,101323.2,1773.22,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-21,1.0238272536012474,103255.62,101482.4,1773.22,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-22,1.0152692177037028,102392.52,100619.3,1773.22,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-23,1.016240933052978,102490.52,100717.3,1773.22,0.0,0.0,full
集中_红利增强_V20_251229,,2023-02-24,1.0169607956484612,102563.12,0.0,102563.12,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2023-02-27,1.0169607956484612,102563.12,0.0,102563.12,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2023-02-28,1.0169607956484612,102563.12,0.0,102563.12,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2023-03-01,1.0169607956484612,102563.12,0.0,102563.12,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2023-03-02,1.0169607956484612,102563.12,0.0,102563.12,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2023-03-03,1.0194116005758118,102810.29000000001,97197.6,5612.69,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-06,1.0275859080650203,103634.69,98022.0,5612.69,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-07,1.0220471305741519,103076.09,97463.4,5612.69,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-08,1.0158577004177791,102451.87,0.0,102451.87,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2023-03-09,1.0158577004177791,102451.87,0.0,102451.87,0.0,0.0,funds_only
集中_红利增强_V20_251229,,2023-03-10,1.0063935895343492,101497.39,95803.6,5693.79,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-13,1.0089382938939202,101754.03,97602.1,4151.93,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-14,1.009224850767329,101782.93,97631.0,4151.93,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-15,1.015652053720392,102431.13,98279.20000000001,4151.93,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-16,1.012077529399844,102070.63,97918.70000000001,4151.93,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-17,1.020902291245302,102960.63,98808.70000000001,4151.93,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-20,1.0259640358233781,103471.12,101661.4,1809.72,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-21,1.0249546417156619,103369.32,101559.6,1809.72,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-22,1.0256572514059643,103440.18000000001,101724.8,1715.38,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-23,1.027093010411832,103584.98000000001,101869.6,1715.38,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-24,1.0283621896435382,103712.98,101997.59999999999,1715.38,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-27,1.0267529100395858,103550.68000000002,101835.30000000002,1715.38,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-28,1.0225071088910183,103122.48000000001,101407.1,1715.38,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-29,1.023217056023754,103194.08,101478.7,1715.38,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-30,1.029206987069643,103798.18000000001,102082.8,1715.38,0.0,0.0,full
集中_红利增强_V20_251229,,2023-03-31,1.0334131263672197,104222.38,102507.0,1715.38,0.0,0.0,full
集中_红利增强_V20_251229,,2023-04-03,1.0386161662894506,104747.12,0.0,104747.12,0.0,0.0,funds_only
