PC1,PC2,PC3,PC4,label,type
8.00236556156469,26.279522295838262,-52.42216200898596,13.583039885125238,CYB300_综合_v10,strategy
8.503974396502072,27.325951146982142,-55.53320715935956,14.60874540288405,GZ2000_综合_v10,strategy
1.065885224357251,14.936295095434302,-30.611360983508117,-9.234567623256346,HS300_综合_v10,strategy
17.13935765998813,21.053949489812773,-43.244650505419635,54.023466502353315,HX_朝花夕拾,strategy
27.15634848793373,72.31032927906134,-125.77772685284779,78.8593665946924,宽指配置_V251216,strategy
23.96970657267147,55.85049359410556,-105.45841866547093,71.21181400867886,集中_红利增强_V20_251229,strategy
20.228321446446454,48.555370113884734,-91.5906498936414,57.65996013013994,集中_行业轮动_V251111701,strategy
35.14457546528474,62.86947110340907,-109.74176969696924,80.62453865882591,A,user
-137.47621429140517,-287.88935143496633,533.8344263168827,-410.2982281131457,B,user
-3.734320523343299,-41.29203068356187,80.5455194493198,48.9618645537023,C,user
