code,symbol,name,market,asset_type,date,open,high,low,close,preclose,volume,amount,pct_chg,turnover,trade_status,is_st,adjust,provider,source_function
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-11,27.52,28.78,27.31,28.57,28.06,1332700,37859812.0,1.8175,3.5567,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-14,28.68,28.82,28.31,28.62,28.57,1337300,38279233.0,0.175,3.569,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-15,29.3,29.33,27.68,28.2,28.62,1924500,54505316.0,-1.4675,5.1361,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-16,28.63,28.79,27.71,28.22,28.2,1128275,31969979.0,0.0709,3.0111,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-17,28.35,29.2,28.18,28.41,28.22,1946300,55776659.25,0.6733,5.1943,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-18,28.26,28.5,27.63,28.03,28.41,1699980,47638059.0,-1.3376,4.5369,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-21,20.16,20.9,19.89,19.95,20.02,2460080,49865889.8,-0.3497,4.6896,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-22,19.41,19.78,18.7,19.05,19.95,3103112,59880614.8,-4.5113,5.9154,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-23,19.08,19.45,18.83,19.24,19.05,3042380,58225000.4,0.9974,5.7996,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-24,19.23,19.23,18.43,18.59,19.24,3241140,60714236.05,-3.3784,6.1785,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-25,18.73,19.06,18.01,18.38,18.59,3398291,63027596.59,-1.1296,6.4781,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-28,18.27,19.73,18.22,18.54,18.38,4845120,91975033.4,0.8705,9.2362,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-29,19.38,19.92,18.62,18.75,18.54,5075455,96826653.96,1.1327,9.6753,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-09-30,18.65,20.05,18.19,19.29,18.75,4812596,92270794.06,2.88,9.1742,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-10-09,19.77,21.22,19.77,21.22,19.29,4977326,103194126.59,10.0052,9.4882,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-10-12,21.5,22.3,21.24,22.06,21.22,5709861,125426469.88,3.9585,10.8846,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-10-13,22.08,22.3,21.71,22.08,22.06,3511260,77170169.0,0.0907,6.6935,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-10-14,22.19,22.56,21.81,21.93,22.08,3532460,78169655.0,-0.6793,6.7339,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-10-15,22.18,22.35,21.82,21.95,21.93,1920340,42327677.4,0.0912,3.6607,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-10-16,22.09,22.14,21.11,21.55,21.95,3307840,71427220.6,-1.8223,6.3057,1,0,none,baostock,query_history_k_data_plus
603949,SHSE.603949,雪龙集团,SH,A股-上交所,2020-10-19,21.61,22.06,21.16,21.18,21.55,2092080,45050261.61,-1.7169,3.9881,1,0,none,baostock,query_history_k_data_plus
