code,symbol,name,market,asset_type,date,open,high,low,close,preclose,volume,amount,pct_chg,turnover,trade_status,is_st,adjust,provider,source_function
002079,SZSE.002079,,SZ,A股-深交所,2026-02-24,11.4,11.44,11.14,11.32,11.23,44501652,503620617.6,0.8014,5.4951,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-02-25,11.26,11.38,11.21,11.31,11.32,44673785,504345927.0,-0.0883,5.5163,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-02-26,11.32,11.49,11.21,11.47,11.31,58247397,663260001.45,1.4147,7.1924,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-02-27,11.36,11.53,11.24,11.43,11.47,47323902,538974339.91,-0.3487,5.8435,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-02,11.18,11.3,10.87,10.91,11.43,59148710,650537579.49,-4.5494,7.3037,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-03,10.92,11.2,10.39,10.41,10.91,51106456,548206007.4,-4.583,6.3106,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-04,10.29,10.67,10.28,10.47,10.41,29100400,305203406.0,0.5764,3.5933,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-05,10.65,10.85,10.56,10.62,10.47,28435841,304229374.5,1.4327,3.5113,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-06,10.56,10.69,10.53,10.55,10.62,22539125,238927735.16,-0.6591,2.7831,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-09,10.39,10.49,10.08,10.45,10.55,32147300,329312617.03,-0.9479,3.9695,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-10,10.6,10.67,10.47,10.58,10.45,23434933,247897898.88,1.244,2.8937,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-11,10.58,10.77,10.58,10.63,10.58,24948938,266458727.21,0.4726,3.0807,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-12,10.6,10.66,10.36,10.43,10.63,22511496,235836173.73,-1.8815,2.7797,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-13,10.39,10.51,10.27,10.3,10.43,20427727,212128310.77,-1.2464,2.5224,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-16,10.31,10.38,10.13,10.37,10.3,18463166,189429694.73,0.6796,2.2798,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-17,10.38,10.4,10.08,10.09,10.37,20090666,205941777.8,-2.7001,2.4808,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-18,10.17,10.3,10.08,10.28,10.09,19245794,196077920.2,1.8831,2.3765,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-19,10.16,10.17,9.96,9.99,10.28,21135752,212199473.52,-2.821,2.6098,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-20,10.11,10.24,9.83,9.84,9.99,22686754,227264723.62,-1.5015,2.8014,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-23,9.68,10.04,9.57,9.63,9.84,33190374,325486582.43,-2.1341,4.0983,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-24,9.8,9.86,9.33,9.65,9.63,29638233,282338689.11,0.2077,3.6597,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-25,9.65,9.79,9.6,9.68,9.65,23114597,223771848.08,0.3109,2.8542,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-26,9.68,9.68,9.35,9.4,9.68,18421822,174748817.32,-2.8926,2.2747,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-27,9.3,9.55,9.24,9.52,9.4,16590845,156495933.33,1.2766,2.0486,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-30,9.38,9.52,9.2,9.5,9.52,17856900,167255769.0,-0.2101,2.205,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-03-31,9.45,9.52,9.3,9.31,9.5,13938414,131004774.2,-2.0,1.7211,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-01,9.47,9.49,9.35,9.49,9.31,13835793,130558082.59,1.9334,1.7065,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-02,9.57,9.65,9.45,9.49,9.49,23289500,222276635.09,0.0,2.8725,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-03,9.56,9.6,9.22,9.23,9.49,14023444,130834735.56,-2.7397,1.7297,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-07,9.26,9.43,9.25,9.42,9.23,12490596,117175997.94,2.0585,1.5406,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-08,9.61,9.73,9.58,9.73,9.42,21904900,211765653.55,3.2909,2.7018,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-09,9.64,9.65,9.52,9.55,9.73,15074310,144384070.9,-1.8499,1.8593,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-10,9.65,9.75,9.61,9.63,9.55,16109956,156029744.96,0.8377,1.987,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-13,9.55,9.8,9.52,9.79,9.63,18943098,183968670.42,1.6615,2.3364,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-14,9.82,9.82,9.7,9.82,9.79,16828948,164539347.43,0.3064,2.0757,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-15,9.91,10.08,9.81,9.89,9.82,33278041,330093779.33,0.7128,4.1045,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-16,9.96,10.38,9.92,10.25,9.89,39272081,400370277.57,3.64,4.8438,1,0,none,baostock,query_history_k_data_plus
002079,SZSE.002079,,SZ,A股-深交所,2026-04-17,10.17,10.55,10.12,10.44,10.25,35040234,361442772.72,1.8537,4.3219,1,0,none,baostock,query_history_k_data_plus
