code,symbol,name,market,asset_type,date,open,high,low,close,preclose,volume,amount,pct_chg,turnover,trade_status,is_st,adjust,provider,source_function
688313,SHSE.688313,,SH,A股-上交所,2024-12-27,15.39,15.44,14.95,15.13,15.4,17129653.0,260912946.76,-1.7532,3.7336,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2024-12-30,15.26,17.6,15.18,17.05,15.13,52721797.0,856219491.66,12.69,11.4912,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2024-12-31,16.78,16.87,15.81,16.39,17.05,46057160.0,753173247.16,-3.871,10.0386,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-02,15.88,17.91,15.43,17.01,16.39,54852261.0,928019086.84,3.7828,11.9555,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-03,16.93,17.08,15.49,15.61,17.01,35588388.0,576702255.71,-8.2305,7.7568,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-06,15.5,16.1,14.6,15.0,15.61,29681163.0,451530016.54,-3.9078,6.4693,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-07,14.96,18.0,14.93,17.61,15.0,51592215.0,858517333.2,17.4,11.245,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-08,16.98,17.93,16.66,17.62,17.61,42298095.0,729961764.69,0.0568,9.2192,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-09,17.51,17.6,16.72,16.94,17.62,29977451.0,512441856.78,-3.8593,6.5338,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-10,16.8,16.88,15.38,15.42,16.94,30993416.0,498296076.84,-8.9728,6.7553,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-13,15.05,15.8,14.32,15.58,15.42,27713163.0,421314372.28,1.0376,6.0403,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-14,15.65,17.98,15.32,17.54,15.58,39333509.0,672894970.11,12.5802,8.5731,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-15,17.52,17.77,16.99,17.15,17.54,29514011.0,509252754.25,-2.2235,6.4328,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-16,17.3,19.2,16.51,18.05,17.15,54726000.0,958950134.59,5.2478,11.928,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-17,17.6,20.37,17.59,19.3,18.05,64789487.0,1235392515.96,6.9252,14.1214,1,0,none,baostock,query_history_k_data_plus
688313,SHSE.688313,,SH,A股-上交所,2025-01-20,19.2,19.98,18.85,19.01,19.3,40926866.0,790021261.1,-1.5026,8.9204,1,0,none,baostock,query_history_k_data_plus
