code,symbol,name,market,asset_type,date,open,high,low,close,preclose,volume,amount,pct_chg,turnover,trade_status,is_st,adjust,provider,source_function
688266,SHSE.688266,,SH,A股-上交所,2021-01-15,57.72,59.0,57.0,58.0,57.72,1304096,75808096.06,0.4851,2.2407,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-01-18,58.33,58.43,57.06,57.34,58.0,1194613,68774635.4,-1.1379,2.0526,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-01-19,57.19,58.22,56.3,57.68,57.34,1016615,58512802.64,0.593,1.7468,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-01-20,58.1,60.32,57.71,58.95,57.68,1346188,79825035.91,2.2018,2.313,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-01-21,58.98,64.82,58.85,63.54,58.95,2418884,150371873.48,7.7863,4.1562,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-01-22,63.0,63.58,61.2,61.29,63.54,1577621,98018332.48,-3.5411,2.7107,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-01-25,62.5,68.48,61.82,67.8,61.29,3205192,212313597.31,10.6216,2.4093,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-01-26,68.02,72.43,67.2,70.37,67.8,2757358,192136166.09,3.7906,2.0727,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-01-27,70.37,70.89,66.88,68.37,70.37,1543632,105347724.91,-2.8421,1.1603,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-01-28,68.3,70.95,67.11,68.52,68.37,1329242,91921670.72,0.2194,0.9992,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-01-29,68.14,69.4,64.0,64.8,68.52,1558890,103028872.23,-5.4291,1.1718,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-02-01,64.8,66.47,64.0,65.8,64.8,1071362,69879176.78,1.5432,0.8053,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-02-02,66.03,67.45,64.48,64.94,65.8,832811,54493626.22,-1.307,0.626,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-02-03,64.64,67.38,63.0,65.73,64.94,1598472,104532062.88,1.2165,1.2016,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-02-04,65.2,66.37,63.07,63.99,65.73,963042,61805907.98,-2.6472,0.7239,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-02-05,64.64,67.38,64.4,64.65,63.99,1135857,75022255.94,1.0314,0.8538,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-02-08,65.8,65.8,61.6,61.7,64.65,1362777,85490244.62,-4.563,1.0244,1,0,none,baostock,query_history_k_data_plus
688266,SHSE.688266,,SH,A股-上交所,2021-02-09,61.86,63.25,60.61,62.0,61.7,859803,53460632.71,0.4862,0.6463,1,0,none,baostock,query_history_k_data_plus
