code,symbol,name,market,asset_type,date,open,high,low,close,preclose,volume,amount,pct_chg,turnover,trade_status,is_st,adjust,provider,source_function
,,,,,2019-12-02,6.5100,6.5300,6.4000,6.4000,6.5000,1992501,12845241.0400,-1.538500,0.641900,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-03,6.4000,6.4100,6.3100,6.3500,6.4000,1347276,8552001.7700,-0.781300,0.434000,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-04,6.3500,6.4800,6.3100,6.4200,6.3500,1112605,7128042.7400,1.102400,0.352600,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-05,6.4500,6.5600,6.3800,6.5400,6.4200,2353832,15236282.4100,1.869200,0.745900,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-06,6.5400,6.6600,6.5000,6.6200,6.5400,2988772,19744186.8300,1.223200,0.947100,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-09,6.6200,6.7500,6.6100,6.7400,6.6200,3288526,21999308.4100,1.812700,1.042000,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-10,6.7400,7.2500,6.6000,6.8100,6.7400,5444886,37182487.9700,1.038600,1.725300,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-11,6.8000,6.8400,6.5900,6.5900,6.8100,2377178,15828930.5700,-3.230500,0.753300,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-12,6.6200,6.6200,6.4100,6.4400,6.5900,1615610,10480713.5700,-2.276200,0.511900,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-13,6.4500,6.7300,6.4500,6.5900,6.4400,2587139,17156103.5800,2.329200,0.819800,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-16,6.5900,6.6900,6.5000,6.6700,6.5900,2269724,15017610.2500,1.214000,0.719200,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-17,6.5800,6.7500,6.5800,6.7100,6.6700,2150854,14400475.5700,0.599700,0.681500,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-18,6.6900,6.7400,6.6700,6.7000,6.7100,1198433,8029275.2400,-0.149000,0.379800,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-19,6.8100,6.8100,6.6700,6.7000,6.7000,1754115,11784570.9900,0.000000,0.555800,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-20,6.7300,6.8800,6.6900,6.7300,6.7000,3061622,20757431.9400,0.447800,0.970100,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-23,6.7500,6.7500,6.5400,6.5400,6.7300,1593213,10547827.6400,-2.823200,0.504800,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-24,6.9400,6.9400,6.6300,6.7200,6.5400,3691922,24949841.2700,2.752300,1.169900,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-25,6.7200,6.7200,6.4400,6.5800,6.7200,2771422,18180472.2800,-2.083300,0.878200,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-26,6.5800,6.5800,6.4200,6.4900,6.5800,1526431,9892275.6900,-1.367800,0.483700,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-27,6.5100,6.5400,6.4200,6.4700,6.4900,1488791,9633716.3900,-0.308200,0.471800,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-30,6.4700,6.5900,6.1800,6.5300,6.4700,2875342,18422221.8400,0.927400,0.911100,1,0,none,baostock,query_history_k_data_plus
,,,,,2019-12-31,6.5300,6.6800,6.5000,6.6500,6.5300,2123846,14002720.3500,1.837700,0.673000,1,0,none,baostock,query_history_k_data_plus
