code,symbol,name,market,asset_type,date,open,high,low,close,preclose,volume,amount,pct_chg,turnover,trade_status,is_st,adjust,provider,source_function
000672,SZSE.000672,,SZ,A股-深交所,2025-05-26,8.59,8.84,8.59,8.8,8.64,13742527,120504503.72,1.8519,1.4176,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-05-27,8.0,8.07,7.84,7.91,8.18,13924684,110301796.64,-3.3007,1.4364,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-05-28,7.88,7.97,7.87,7.95,7.91,5857282,46416206.64,0.5057,0.6042,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-05-29,7.93,7.99,7.92,7.97,7.95,6501660,51799985.6,0.2516,0.6707,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-05-30,7.95,8.12,7.95,8.11,7.97,6971012,56138314.56,1.7566,0.7191,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-06-03,8.05,8.14,7.93,8.12,8.11,7538016,60583238.6,0.1233,0.7776,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-06-04,8.09,8.25,8.07,8.23,8.12,7589642,62121014.5,1.3547,0.7829,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-06-05,8.23,8.25,8.04,8.07,8.23,6708246,54341131.26,-1.9441,0.692,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-06-06,8.1,8.19,8.08,8.15,8.07,5350674,43537142.38,0.9913,0.552,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-06-09,8.16,8.18,8.02,8.11,8.15,7458945,60289024.4,-0.4908,0.7694,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-06-10,8.12,8.15,7.96,8.01,8.11,8211940,65802888.1,-1.233,0.8471,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-06-11,8.01,8.09,7.98,8.01,8.01,6976261,56002880.49,0.0,0.7197,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-06-12,7.99,8.0,7.75,7.78,8.01,11329729,88725357.39,-2.8714,1.1687,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-06-13,7.78,7.79,7.62,7.64,7.78,7670280,58918285.44,-1.7995,0.7912,1,0,none,baostock,query_history_k_data_plus
000672,SZSE.000672,,SZ,A股-深交所,2025-06-16,7.65,7.69,7.59,7.65,7.64,5354571,40855341.62,0.1309,0.5524,1,0,none,baostock,query_history_k_data_plus
