code,symbol,name,market,asset_type,date,open,high,low,close,preclose,volume,amount,pct_chg,turnover,trade_status,is_st,adjust,provider,source_function
600602,SHSE.600602,,SH,A股-上交所,2021-01-22,5.54,5.55,5.38,5.4,5.54,4875600,26471951.99,-2.5271,0.4538,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-01-25,5.35,5.37,5.21,5.22,5.4,4919247,25856213.87,-3.3333,0.4579,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-01-26,5.2,5.33,5.19,5.23,5.22,4827156,25408286.76,0.1916,0.4493,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-01-27,5.22,5.28,5.17,5.23,5.23,3982493,20800955.15,0.0,0.3707,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-01-28,5.21,5.43,5.19,5.39,5.23,7655643,40791520.78,3.0593,0.7126,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-01-29,5.33,5.39,5.13,5.19,5.39,5447580,28509804.72,-3.7106,0.5071,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-01,5.19,5.31,5.18,5.24,5.19,2856131,14922505.11,0.9634,0.2659,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-02,5.25,5.35,5.2,5.26,5.24,3035946,15996700.51,0.3817,0.2826,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-03,5.26,5.28,5.07,5.1,5.26,4554200,23381724.48,-3.0418,0.4239,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-04,5.1,5.12,4.95,4.96,5.1,4674612,23387296.99,-2.7451,0.4351,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-05,4.99,5.06,4.92,4.93,4.96,3723771,18628574.56,-0.6048,0.3466,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-08,4.94,5.04,4.94,5.0,4.93,2182506,10908901.95,1.4199,0.2032,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-09,4.95,5.08,4.95,5.07,5.0,2518452,12683232.1,1.4,0.2344,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-10,5.07,5.1,5.04,5.06,5.07,2836503,14366533.12,-0.1972,0.264,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-18,5.11,5.23,5.1,5.19,5.06,3444879,17792091.63,2.5692,0.3207,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-19,5.2,5.39,5.16,5.38,5.19,4583728,24296869.65,3.6609,0.4267,1,0,none,baostock,query_history_k_data_plus
600602,SHSE.600602,,SH,A股-上交所,2021-02-22,5.38,5.55,5.37,5.47,5.38,6460134,35335995.02,1.6729,0.6013,1,0,none,baostock,query_history_k_data_plus
