code,symbol,name,market,asset_type,date,open,high,low,close,preclose,volume,amount,pct_chg,turnover,trade_status,is_st,adjust,provider,source_function
300487,SZSE.300487,,SZ,A股-深交所,2024-08-16,38.94,39.35,38.5,38.65,39.04,982950,38124550.0,-0.999,0.3232,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-08-19,38.5,39.58,38.2,38.68,38.65,795425,31013963.75,0.0776,0.2615,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-08-20,38.85,38.9,38.22,38.23,38.68,934220,35876564.5,-1.1634,0.3072,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-08-21,38.27,38.66,38.1,38.45,38.23,621700,23889879.37,0.5755,0.2044,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-08-22,38.63,38.89,37.48,37.68,38.45,1455450,55183498.11,-2.0026,0.4786,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-08-23,37.68,38.4,37.68,38.2,37.68,908563,34576145.08,1.38,0.2987,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-08-26,38.31,38.38,37.35,38.08,38.2,1068525,40541213.25,-0.3141,0.3513,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-08-27,38.18,40.2,38.18,39.6,38.08,3778314,148469885.4,3.9916,1.2423,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-08-28,39.69,40.59,39.28,39.95,39.6,2377950,95028808.5,0.8838,0.7819,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-08-29,39.61,41.14,39.32,40.48,39.95,3550685,143253285.5,1.3267,1.1675,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-08-30,40.39,41.48,39.4,40.18,40.48,6444782,260886739.99,-0.7411,2.1191,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-02,41.0,41.0,39.99,39.99,40.18,2862589,115807115.03,-0.4729,0.9412,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-03,40.01,42.8,39.88,42.6,39.99,4520807,189087639.5,6.5266,1.4865,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-04,42.6,43.3,41.88,42.09,42.6,4646737,197488515.88,-1.1972,1.5279,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-05,42.24,42.66,41.27,41.57,42.09,2324225,96851233.15,-1.2354,0.7642,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-06,41.7,42.19,41.15,41.26,41.57,1757046,73159640.11,-0.7457,0.5777,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-09,41.4,41.79,40.5,40.83,41.26,1666749,68201283.86,-1.0422,0.548,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-10,40.98,40.98,39.93,40.54,40.83,2182624,88142618.74,-0.7103,0.7177,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-11,40.47,41.79,39.97,41.21,40.54,3495950,143740456.5,1.6527,1.1495,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-12,41.28,41.5,40.71,40.75,41.21,2007850,82596561.5,-1.1162,0.6602,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-13,40.54,41.3,40.26,40.89,40.75,2113435,86225084.17,0.3436,0.6949,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-18,40.7,42.15,40.41,42.03,40.89,2041731,84370104.86,2.788,0.6713,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-19,42.06,42.8,40.9,41.81,42.03,2837000,118756240.5,-0.5234,0.9328,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-20,41.72,41.8,41.03,41.6,41.81,1789050,74097604.0,-0.5023,0.5883,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-23,41.6,42.42,41.09,41.79,41.6,2307294,96465136.15,0.4567,0.7587,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-24,41.88,43.58,41.87,43.58,41.79,4314000,184746075.25,4.2833,1.4185,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-25,43.86,45.54,43.66,43.91,43.58,4126456,183659889.03,0.7572,1.3568,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-26,44.06,45.45,43.8,45.4,43.91,3170550,141947988.5,3.3933,1.0425,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-27,45.59,50.19,45.54,49.01,45.4,7735949,374235762.48,7.9515,2.5436,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-09-30,50.65,56.98,50.65,56.68,49.01,8301466,447202174.66,15.6499,2.7296,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-10-08,68.02,68.02,58.92,62.37,56.68,12411629,790186115.21,10.0388,4.0811,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-10-09,60.0,62.89,56.97,57.0,62.37,9583433,570821970.99,-8.6099,3.1511,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-10-10,57.31,59.22,55.09,55.28,57.0,5551385,315237198.92,-3.0175,1.8253,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-10-11,54.64,55.33,52.28,52.99,55.28,4397231,234668842.23,-4.1425,1.4458,1,0,none,baostock,query_history_k_data_plus
300487,SZSE.300487,,SZ,A股-深交所,2024-10-14,53.54,55.46,52.52,54.51,52.99,5941551,319724360.59,2.8685,1.9536,1,0,none,baostock,query_history_k_data_plus
